measured_on,inv_string09_ac_output_(kwh)_inv_150212,inv_string09_ac_output_(power_factor)_inv_150213,inv_string09_ac_voltage_(v)_inv_150211,inv_string09_dc_voltage_(v)_inv_150210,inv_string09_temperature_(c)_inv_150214
2019-06-21 08:41:48,0.0,,120.797,529.25,30.984
2019-06-21 08:46:49,24.121,0.997011952,121.531,399.0,33.9549
2019-06-21 08:51:49,24.975,0.998193206,121.844,399.062,39.6553
2019-06-21 08:56:49,25.717,0.998244382,121.047,399.125,44.1536
2019-06-21 09:01:49,26.486,0.999317561,120.812,399.188,44.8437
2019-06-21 09:06:49,27.841,0.996541288,121.688,400.375,46.4582
2019-06-21 09:11:49,28.844,1.0,121.281,398.562,48.6815
2019-06-21 09:16:48,30.325,0.999106434,121.641,399.438,50.8231
2019-06-21 09:21:48,31.609,0.996967974,121.672,398.75,53.0995
2019-06-21 09:26:49,32.871,0.995524297,121.578,399.062,55.1712
2019-06-21 09:31:49,34.317,0.998688697,121.344,399.125,56.3501
2019-06-21 09:36:49,35.526,0.998471986,120.922,398.812,57.0221
2019-06-21 09:41:49,36.525,0.997947118,121.469,398.812,57.8936
2019-06-21 09:46:49,37.657,0.998167477,121.906,398.938,58.7804
2019-06-21 09:51:49,39.208,0.999463889,121.109,398.625,59.8017
2019-06-21 09:56:49,40.895,0.996990384,121.766,398.438,61.9228
2019-06-21 10:01:49,41.44,0.99869338,121.797,399.25,63.4398
2019-06-21 10:06:49,41.661,0.998050401,121.281,399.125,64.7325
2019-06-21 10:11:49,11.263,0.998932764,119.234,399.312,60.5556
2019-06-21 10:16:49,10.393,0.997396587,118.625,398.938,57.6458
2019-06-21 10:21:49,11.869,0.997968512,119.062,399.125,54.7713
2019-06-21 10:26:48,9.529000000000002,0.99526216,118.516,399.188,52.8013
2019-06-21 10:31:49,8.872,0.998644527,118.984,399.0,50.9778
2019-06-21 10:36:49,11.657,0.996897622,119.562,398.875,49.7419
2019-06-21 10:41:48,40.705,0.999115696,122.016,399.062,53.5499
2019-06-21 10:46:49,12.153,0.99901088,119.938,398.562,54.7352
2019-06-21 10:51:49,19.945,0.992796038,121.312,398.875,53.9967
2019-06-21 10:56:49,10.246,0.997944803,119.641,398.812,53.3776
2019-06-21 11:01:49,14.004,0.998709122,119.844,398.562,52.82
2019-06-21 11:06:49,13.531,0.999113672,119.797,399.062,54.246
2019-06-21 11:11:49,10.552,0.996030621,119.078,398.75,53.3406
2019-06-21 11:16:49,37.435,0.998555261,121.641,399.438,53.0747
2019-06-21 11:21:49,42.503,0.998373984,122.203,501.062,57.0778
2019-06-21 11:26:49,42.393,0.999574166,121.438,533.625,57.4455
2019-06-21 11:31:49,12.173,0.995795202,119.297,399.125,55.3001
2019-06-21 11:36:49,14.098,0.997020643,119.812,399.062,53.734
2019-06-21 11:41:49,11.02,0.994550409,118.953,399.188,52.3636
2019-06-21 11:46:49,8.157999999999998,0.997054492,118.75,399.125,50.7262
2019-06-21 11:51:49,15.669,0.998462721,120.172,399.5,49.501
2019-06-21 11:56:49,9.244,0.996423927,119.047,399.125,49.9218
2019-06-21 12:01:49,10.126,0.998809169,119.125,399.125,49.4351
2019-06-21 12:06:49,13.513,0.997995992,119.797,399.188,49.1705
2019-06-21 12:11:49,42.345,0.999222065,122.375,503.75,52.4012
2019-06-21 12:16:50,11.86,0.998222899,119.781,399.125,53.1119
2019-06-21 12:21:49,10.057,0.998802754,119.375,399.188,52.2756
2019-06-21 12:26:49,10.214,0.998530708,118.859,399.0,51.1898
2019-06-21 12:31:49,13.704,0.998682477,119.734,399.125,50.9585
2019-06-21 12:36:49,10.207,0.998229566,118.844,398.938,50.004
2019-06-21 12:41:49,42.433,0.999291333,122.453,504.438,49.4131
2019-06-21 12:46:49,42.356,0.998584572,121.953,503.25,53.9906
2019-06-21 12:51:49,42.36,0.999645842,121.891,503.062,57.6941
2019-06-21 12:56:50,42.226,0.998079522,121.828,547.625,57.8592
2019-06-21 13:01:50,38.545,0.998986197,121.656,399.062,59.5212
2019-06-21 13:06:49,12.06,0.997756171,119.906,399.0,56.5749
